ISO,month,period,alertes_count
ABW,2019-09-01,201909,0
ABW,2019-10-01,201910,0
ABW,2019-11-01,201911,0
ABW,2019-12-01,201912,0
ABW,2020-01-01,202001,0
ABW,2020-02-01,202002,0
ABW,2020-03-01,202003,0
ABW,2020-04-01,202004,0
ABW,2020-05-01,202005,0
ABW,2020-06-01,202006,0
ABW,2020-07-01,202007,0
ABW,2020-08-01,202008,0
ABW,2020-09-01,202009,0
ABW,2020-10-01,202010,0
ABW,2020-11-01,202011,0
ABW,2020-12-01,202012,0
ABW,2021-01-01,202101,0
ABW,2021-02-01,202102,0
ABW,2021-03-01,202103,0
ABW,2021-04-01,202104,0
ABW,2021-05-01,202105,0
ABW,2021-06-01,202106,0
ABW,2021-07-01,202107,0
ABW,2021-08-01,202108,0
ABW,2021-09-01,202109,0
ABW,2021-10-01,202110,0
ABW,2021-11-01,202111,0
ABW,2021-12-01,202112,0
ABW,2022-01-01,202201,0
ABW,2022-02-01,202202,0
ABW,2022-03-01,202203,0
ABW,2022-04-01,202204,0
ABW,2022-05-01,202205,0
ABW,2022-06-01,202206,0
ABW,2022-07-01,202207,0
ABW,2022-08-01,202208,0
ABW,2022-09-01,202209,0
ABW,2022-10-01,202210,0
ABW,2022-11-01,202211,0
ABW,2022-12-01,202212,0
ABW,2023-01-01,202301,0
ABW,2023-02-01,202302,0
ABW,2023-03-01,202303,0
ABW,2023-04-01,202304,0
ABW,2023-05-01,202305,0
ABW,2023-06-01,202306,0
ABW,2023-07-01,202307,0
ABW,2023-08-01,202308,0
ABW,2023-09-01,202309,0
ABW,2023-10-01,202310,0
ABW,2023-11-01,202311,0
ABW,2023-12-01,202312,0
ABW,2024-01-01,202401,1
ABW,2024-02-01,202402,1
ABW,2024-03-01,202403,1
ABW,2024-04-01,202404,1
ABW,2024-05-01,202405,1
ABW,2024-06-01,202406,1
ABW,2024-07-01,202407,1
ABW,2024-08-01,202408,1
ABW,2024-09-01,202409,1
ABW,2024-10-01,202410,1
ABW,2024-11-01,202411,1
ABW,2024-12-01,202412,1
ABW,2025-01-01,202501,1
ABW,2025-02-01,202502,1
ABW,2025-03-01,202503,1
ABW,2025-04-01,202504,1
ABW,2025-05-01,202505,1
ABW,2025-06-01,202506,1
ABW,2025-07-01,202507,1
ABW,2025-08-01,202508,1
ABW,2025-09-01,202509,1
ABW,2025-10-01,202510,1
ABW,2025-11-01,202511,1
ABW,2025-12-01,202512,1
ABW,2026-01-01,202601,0
ABW,2026-02-01,202602,0
ABW,2026-03-01,202603,0
ABW,2026-04-01,202604,0
ABW,2026-05-01,202605,0
ABW,2026-06-01,202606,0
ABW,2026-07-01,202607,0
ABW,2026-08-01,202608,0
ABW,2026-09-01,202609,0
ABW,2026-10-01,202610,0
ABW,2026-11-01,202611,0
ABW,2026-12-01,202612,0
AFG,1996-01-01,199601,0
AFG,1996-02-01,199602,0
AFG,1996-03-01,199603,0
AFG,1996-04-01,199604,0
AFG,1996-05-01,199605,0
AFG,1996-06-01,199606,0
AFG,1996-07-01,199607,0
AFG,1996-08-01,199608,0
AFG,1996-09-01,199609,0
AFG,1996-10-01,199610,0
AFG,1996-11-01,199611,0
AFG,1996-12-01,199612,0
AFG,1997-01-01,199701,0
AFG,1997-02-01,199702,0
AFG,1997-03-01,199703,0
AFG,1997-04-01,199704,0
AFG,1997-05-01,199705,0
AFG,1997-06-01,199706,0
AFG,1997-07-01,199707,0
AFG,1997-08-01,199708,0
AFG,1997-09-01,199709,0
AFG,1997-10-01,199710,0
AFG,1997-11-01,199711,0
AFG,1997-12-01,199712,0
AFG,1998-01-01,199801,0
AFG,1998-02-01,199802,0
AFG,1998-03-01,199803,0
AFG,1998-04-01,199804,0
AFG,1998-05-01,199805,0
AFG,1998-06-01,199806,0
AFG,1998-07-01,199807,0
AFG,1998-08-01,199808,0
AFG,1998-09-01,199809,0
AFG,1998-10-01,199810,0
AFG,1998-11-01,199811,0
AFG,1998-12-01,199812,0
AFG,1999-01-01,199901,2
AFG,1999-02-01,199902,2
AFG,1999-03-01,199903,2
AFG,1999-04-01,199904,2
AFG,1999-05-01,199905,2
AFG,1999-06-01,199906,2
AFG,1999-07-01,199907,2
AFG,1999-08-01,199908,2
AFG,1999-09-01,199909,2
AFG,1999-10-01,199910,2
AFG,1999-11-01,199911,2
AFG,1999-12-01,199912,2
AFG,2000-01-01,200001,4
AFG,2000-02-01,200002,4
AFG,2000-03-01,200003,4
AFG,2000-04-01,200004,4
AFG,2000-05-01,200005,4
AFG,2000-06-01,200006,4
AFG,2000-07-01,200007,4
AFG,2000-08-01,200008,4
AFG,2000-09-01,200009,4
AFG,2000-10-01,200010,4
AFG,2000-11-01,200011,4
AFG,2000-12-01,200012,4
AFG,2001-01-01,200101,2
AFG,2001-02-01,200102,2
AFG,2001-03-01,200103,2
AFG,2001-04-01,200104,2
AFG,2001-05-01,200105,2
AFG,2001-06-01,200106,2
AFG,2001-07-01,200107,2
AFG,2001-08-01,200108,2
AFG,2001-09-01,200109,2
AFG,2001-10-01,200110,2
AFG,2001-11-01,200111,2
AFG,2001-12-01,200112,2
AFG,2002-01-01,200201,1
AFG,2002-02-01,200202,1
AFG,2002-03-01,200203,1
AFG,2002-04-01,200204,1
AFG,2002-05-01,200205,1
AFG,2002-06-01,200206,1
AFG,2002-07-01,200207,1
AFG,2002-08-01,200208,1
AFG,2002-09-01,200209,1
AFG,2002-10-01,200210,1
AFG,2002-11-01,200211,1
AFG,2002-12-01,200212,1
